latitude,longitude
29.67661253,-82.34799668
29.785583,-82.5899159
29.6515525,-82.3392663
29.66790679,-82.32455558
29.6196409,-82.3641145
29.65288129,-82.34359565
29.6054588,-82.3712816
29.7111785,-82.37288738
29.681866,-82.3326864
29.635826,-82.3885659
29.67858384,-82.38524441
29.6595601,-82.4109966
29.59850367,-82.08369008
29.6595601,-82.4109966
29.69764808,-82.36919454
29.67214952,-82.34171857
29.68308308,-82.32248703
29.66201549,-82.32442553
29.65037083,-82.32522683
29.67391588,-82.33536859
29.6595601,-82.4109966
29.69595807,-82.33918877
29.6368615,-82.3845754
29.70331917,-82.34016225
???, ???
29.62185118,-82.38778565
29.6054588,-82.3712816
29.65950925,-82.33046472
29.6373931,-82.3429664
29.6558961,-82.35273363
29.6595601,-82.4109966
29.6543243,-82.5837189
29.64957909,-82.32358163
29.81048682,-82.61546891
29.63637854,-82.33788533
29.70956911,-82.38378277
29.6520025,-82.3279319
29.614496,-82.347991
29.64076391,-82.32583412
29.64076391,-82.32583412
29.6338278,-82.3783085
29.6338278,-82.3783085
29.712743,-82.3790739
29.6571661,-82.3536452
29.64076391,-82.32583412
29.64076391,-82.32583412
29.65965692,-82.39253129
29.67421219,-82.29959024
29.694369,-82.3539119
29.68009889,-82.31927004
29.712743,-82.3790739
29.65482774,-82.29502716
29.68132859,-82.33512617
29.6452718,-82.3295713
29.61521887,-82.37231264
29.63253152,-82.33934323
29.6520025,-82.3279319
29.6962015,-82.3953375
29.716313,-82.3669949
29.6543243,-82.5837189
29.66678717,-82.34197828
29.68009889,-82.31927004
29.691508,-82.3264929
29.64076391,-82.32583412
29.716313,-82.3669949
29.661221,-82.3890589
29.65288129,-82.34359565
29.66108357,-82.32033771
29.6323135,-82.3900177
29.652817,-82.3432401
29.6515525,-82.3392663
29.690927,-82.391257
29.6721565,-82.4006969
29.6524875,-82.3439723
29.678761,-82.340421
29.6520025,-82.3279319
29.64076391,-82.32583412
29.70068767,-82.35721578
29.6520025,-82.3279319
29.630238,-82.3773959
29.67636109,-82.32325799
29.651907,-82.3247976
29.7307786,-82.3890657
29.65215114,-82.34523286
29.652817,-82.3432401
29.68009889,-82.31927004
29.6362756,-82.3872056
29.710517,-82.3728979
29.6767511,-82.3724124
29.64695743,-82.32590586
29.676854,-82.3879449
29.6631431,-82.32461663
29.68009889,-82.31927004
29.68009889,-82.31927004
29.69263557,-82.3351413
29.69263557,-82.3351413
29.68009889,-82.31927004
29.712109,-82.3467869
29.68009678,-82.29964269
29.692402,-82.3909599
29.681866,-82.3326864
29.670268,-82.3384709
29.66106109,-82.33931387
29.68008771,-82.34016164
29.6595601,-82.4109966
29.6515525,-82.3392663
29.661524,-82.3188519
29.63637874,-82.33787347
29.659436,-82.3536335
29.6520191,-82.3086762
29.6885933,-82.375062
29.6595601,-82.4109966
29.6341473,-82.4139924
29.66679177,-82.33101868
29.63818222,-82.30420024
29.635826,-82.3885659
29.68009889,-82.31927004
29.6663578,-82.3391575
29.6520025,-82.3279319
29.635826,-82.3885659
29.64692,-82.3065179
29.65208925,-82.32886429
29.771415,-82.548394
29.636815,-82.3869899
29.6869471,-82.3707622
29.65213967,-82.33785533
29.69030006,-82.31930538
29.70331909,-82.33815804
29.6323135,-82.3900177
29.69241978,-82.3035674
29.660283,-82.3405049
29.68303331,-82.31928859
29.6520025,-82.3279319
29.7063591,-82.36004334
29.6520025,-82.3279319
29.635826,-82.3885659
29.65215114,-82.34523286
29.71026387,-82.3778108
29.6535459,-82.342672
29.71708043,-82.37800343
29.6520025,-82.3279319
29.65313184,-82.36144041
29.866246,-82.4989049
29.6739635,-82.3349769
29.67490079,-82.34674817
29.71176538,-82.36885766
29.6054588,-82.3712816
29.6509104,-82.3767092
29.62464674,-82.3407189
29.68303331,-82.31928859
29.6678145,-82.3752917
29.77733204,-82.49669126
29.67236605,-82.3307463
29.69706535,-82.33620797
29.70260143,-82.373007
29.6520025,-82.3279319
29.64589498,-82.32488572
29.614152,-82.3700159
29.6520025,-82.3279319
29.70618809,-82.37110073
29.64076391,-82.32583412
29.64842944,-82.32684204
29.68303331,-82.31928859
29.6515525,-82.3392663
29.66072541,-82.33931238
29.65288129,-82.34359565
